step,body,x,y,z,energy
148,1,5.649114e+10,1.264027e+10,1.552029e+09,-3.784890e+32
152,0,2.480595e+02,1.890133e+01,2.320791e+00,-3.784923e+32
152,1,5.641433e+10,1.297377e+10,1.592978e+09,-3.784923e+32
156,0,2.611393e+02,2.041511e+01,2.506660e+00,-3.784957e+32
156,1,5.633552e+10,1.330681e+10,1.633870e+09,-3.784957e+32
160,0,2.745504e+02,2.200739e+01,2.702168e+00,-3.784990e+32
160,1,5.625471e+10,1.363937e+10,1.674704e+09,-3.784990e+32
164,0,2.882923e+02,2.368013e+01,2.907555e+00,-3.785024e+32
164,1,5.617191e+10,1.397146e+10,1.715479e+09,-3.785024e+32
168,0,3.023644e+02,2.543530e+01,3.123062e+00,-3.785057e+32
168,1,5.608712e+10,1.430304e+10,1.756193e+09,-3.785057e+32
172,0,3.167664e+02,2.727482e+01,3.348927e+00,-3.785091e+32
172,1,5.600034e+10,1.463412e+10,1.796844e+09,-3.785091e+32
176,0,3.314977e+02,2.920067e+01,3.585391e+00,-3.785124e+32
176,1,5.591158e+10,1.496467e+10,1.837431e+09,-3.785124e+32
180,0,3.465577e+02,3.121476e+01,3.832691e+00,-3.785158e+32
180,1,5.582083e+10,1.529470e+10,1.877953e+09,-3.785158e+32
184,0,3.619460e+02,3.331906e+01,4.091066e+00,-3.785191e+32
184,1,5.572811e+10,1.562418e+10,1.918408e+09,-3.785191e+32
188,0,3.776620e+02,3.551549e+01,4.360753e+00,-3.785225e+32
188,1,5.563342e+10,1.595311e+10,1.958795e+09,-3.785225e+32
192,0,3.937051e+02,3.780598e+01,4.641991e+00,-3.785258e+32
192,1,5.553675e+10,1.628147e+10,1.999113e+09,-3.785258e+32
196,0,4.100748e+02,4.019248e+01,4.935016e+00,-3.785292e+32
196,1,5.543812e+10,1.660925e+10,2.039359e+09,-3.785292e+32
200,0,4.267704e+02,4.267691e+01,5.240065e+00,-3.785325e+32
200,1,5.533752e+10,1.693644e+10,2.079533e+09,-3.785325e+32
204,0,4.437915e+02,4.526118e+01,5.557375e+00,-3.785359e+32
204,1,5.523496e+10,1.726303e+10,2.119633e+09,-3.785359e+32
208,0,4.611373e+02,4.794723e+01,5.887180e+00,-3.785392e+32
208,1,5.513044e+10,1.758901e+10,2.159658e+09,-3.785392e+32
212,0,4.788073e+02,5.073697e+01,6.229717e+00,-3.785426e+32
212,1,5.502397e+10,1.791436e+10,2.199606e+09,-3.785426e+32
216,0,4.968009e+02,5.363231e+01,6.585220e+00,-3.785460e+32
216,1,5.491555e+10,1.823907e+10,2.239476e+09,-3.785460e+32
220,0,5.151174e+02,5.663516e+01,6.953923e+00,-3.785493e+32
220,1,5.480519e+10,1.856314e+10,2.279267e+09,-3.785493e+32
224,0,5.337561e+02,5.974743e+01,7.336062e+00,-3.785527e+32
224,1,5.469288e+10,1.888655e+10,2.318976e+09,-3.785527e+32
228,0,5.527164e+02,6.297102e+01,7.731869e+00,-3.785560e+32
228,1,5.457864e+10,1.920929e+10,2.358604e+09,-3.785560e+32
232,0,5.719976e+02,6.630782e+01,8.141577e+00,-3.785594e+32
232,1,5.446246e+10,1.953134e+10,2.398147e+09,-3.785594e+32
236,0,5.915991e+02,6.975974e+01,8.565419e+00,-3.785627e+32
236,1,5.434435e+10,1.985270e+10,2.437605e+09,-3.785627e+32
240,0,6.115201e+02,7.332865e+01,9.003626e+00,-3.785661e+32
240,1,5.422432e+10,2.017336e+10,2.476977e+09,-3.785661e+32
244,0,6.317599e+02,7.701645e+01,9.456431e+00,-3.785694e+32
244,1,5.410236e+10,2.049330e+10,2.516261e+09,-3.785694e+32
248,0,6.523179e+02,8.082502e+01,9.924065e+00,-3.785728e+32
248,1,5.397849e+10,2.081251e+10,2.555455e+09,-3.785728e+32
252,0,6.731933e+02,8.475624e+01,1.040676e+01,-3.785761e+32
252,1,5.385271e+10,2.113099e+10,2.594559e+09,-3.785761e+32
256,0,6.943852e+02,8.881197e+01,1.090474e+01,-3.785795e+32
256,1,5.372502e+10,2.144871e+10,2.633570e+09,-3.785795e+32
260,0,7.158931e+02,9.299408e+01,1.141824e+01,-3.785828e+32
260,1,5.359542e+10,2.176567e+10,2.672488e+09,-3.785828e+32
264,0,7.377161e+02,9.730445e+01,1.194748e+01,-3.785862e+32
264,1,5.346393e+10,2.208186e+10,2.711311e+09,-3.785862e+32
268,0,7.598535e+02,1.017449e+02,1.249271e+01,-3.785895e+32
268,1,5.333054e+10,2.239726e+10,2.750038e+09,-3.785895e+32
272,0,7.823045e+02,1.063174e+02,1.305413e+01,-3.785929e+32
272,1,5.319527e+10,2.271187e+10,2.788668e+09,-3.785929e+32
276,0,8.050682e+02,1.110236e+02,1.363199e+01,-3.785962e+32
276,1,5.305810e+10,2.302568e+10,2.827198e+09,-3.785962e+32
280,0,8.281439e+02,1.158655e+02,1.422650e+01,-3.785996e+32
280,1,5.291906e+10,2.333866e+10,2.865628e+09,-3.785996e+32
284,0,8.515307e+02,1.208450e+02,1.483789e+01,-3.786029e+32
284,1,5.277815e+10,2.365082e+10,2.903956e+09,-3.786029e+32
288,0,8.752279e+02,1.259637e+02,1.546640e+01,-3.786063e+32
288,1,5.263536e+10,2.396214e+10,2.942181e+09,-3.786063e+32
292,0,8.992345e+02,1.312236e+02,1.611223e+01,-3.786096e+32
292,1,5.249071e+10,2.427261e+10,2.980301e+09,-3.786096e+32
296,0,9.235498e+02,1.366265e+02,1.677563e+01,-3.786130e+32
