step,body,x,y,z,energy
37,1,1.495445e+11,4.073381e+09,0.000000e+00,-2.651347e+33
38,0,1.755242e+02,1.695469e+00,0.000000e+00,-2.651348e+33
38,1,1.495415e+11,4.180547e+09,0.000000e+00,-2.651348e+33
39,0,1.846402e+02,1.827705e+00,0.000000e+00,-2.651350e+33
39,1,1.495385e+11,4.287711e+09,0.000000e+00,-2.651350e+33
40,0,1.939869e+02,1.966639e+00,0.000000e+00,-2.651351e+33
40,1,1.495354e+11,4.394873e+09,0.000000e+00,-2.651351e+33
41,0,2.035643e+02,2.112437e+00,0.000000e+00,-2.651352e+33
41,1,1.495322e+11,4.502032e+09,0.000000e+00,-2.651352e+33
42,0,2.133725e+02,2.265264e+00,0.000000e+00,-2.651354e+33
42,1,1.495289e+11,4.609190e+09,0.000000e+00,-2.651354e+33
43,0,2.234113e+02,2.425285e+00,0.000000e+00,-2.651355e+33
43,1,1.495256e+11,4.716344e+09,0.000000e+00,-2.651355e+33
44,0,2.336809e+02,2.592665e+00,0.000000e+00,-2.651356e+33
44,1,1.495222e+11,4.823497e+09,0.000000e+00,-2.651356e+33
45,0,2.441811e+02,2.767570e+00,0.000000e+00,-2.651358e+33
45,1,1.495187e+11,4.930646e+09,0.000000e+00,-2.651358e+33
46,0,2.549121e+02,2.950165e+00,0.000000e+00,-2.651359e+33
46,1,1.495151e+11,5.037793e+09,0.000000e+00,-2.651359e+33
47,0,2.658737e+02,3.140616e+00,0.000000e+00,-2.651361e+33
47,1,1.495114e+11,5.144938e+09,0.000000e+00,-2.651361e+33
48,0,2.770660e+02,3.339088e+00,0.000000e+00,-2.651362e+33
48,1,1.495077e+11,5.252080e+09,0.000000e+00,-2.651362e+33
49,0,2.884889e+02,3.545745e+00,0.000000e+00,-2.651363e+33
49,1,1.495039e+11,5.359219e+09,0.000000e+00,-2.651363e+33
50,0,3.001426e+02,3.760754e+00,0.000000e+00,-2.651365e+33
50,1,1.495000e+11,5.466355e+09,0.000000e+00,-2.651365e+33
51,0,3.120269e+02,3.984280e+00,0.000000e+00,-2.651366e+33
51,1,1.494961e+11,5.573489e+09,0.000000e+00,-2.651366e+33
52,0,3.241418e+02,4.216487e+00,0.000000e+00,-2.651367e+33
52,1,1.494920e+11,5.680620e+09,0.000000e+00,-2.651367e+33
53,0,3.364874e+02,4.457542e+00,0.000000e+00,-2.651369e+33
53,1,1.494879e+11,5.787747e+09,0.000000e+00,-2.651369e+33
54,0,3.490636e+02,4.707609e+00,0.000000e+00,-2.651370e+33
54,1,1.494837e+11,5.894872e+09,0.000000e+00,-2.651370e+33
55,0,3.618705e+02,4.966854e+00,0.000000e+00,-2.651371e+33
55,1,1.494795e+11,6.001994e+09,0.000000e+00,-2.651371e+33
56,0,3.749080e+02,5.235443e+00,0.000000e+00,-2.651373e+33
56,1,1.494751e+11,6.109112e+09,0.000000e+00,-2.651373e+33
57,0,3.881761e+02,5.513539e+00,0.000000e+00,-2.651374e+33
